#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-11-05 05:40:00| 2023-11-05 06:45:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   5
  2023-11-05 06:45:00| 2023-11-05 07:50:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   6
  2023-11-05 07:50:00| 2023-11-05 08:55:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   7
  2023-11-05 08:55:00| 2023-11-05 10:00:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   8
  2023-11-05 10:00:00| 2023-11-05 11:05:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|   9
  2023-11-05 11:05:00| 2023-11-05 12:10:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|  10
  2023-11-05 12:10:00| 2023-11-05 13:15:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|  11
  2023-11-05 13:15:00| 2023-11-05 14:20:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|  12
  2023-11-05 14:20:00| 2023-11-05 15:25:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    5|  13
  2023-11-05 15:25:00| 2023-11-05 16:30:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    5|  14
  2023-11-05 16:30:00| 2023-11-05 17:35:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  15
  2023-11-05 17:35:00| 2023-11-05 18:40:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  16
  2023-11-05 18:40:00| 2023-11-05 19:45:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  17
  2023-11-05 19:45:00| 2023-11-05 20:50:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  18
  2023-11-05 20:50:00| 2023-11-05 21:55:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  19
